DateTime,CV1.HIGHLIMIT,CV10.HIGHLIMIT,CV2.HIGHLIMIT,CV3.HIGHLIMIT,CV4.HIGHLIMIT,CV5.HIGHLIMIT,CV6.HIGHLIMIT,CV7.HIGHLIMIT,CV8.HIGHLIMIT,CV9.HIGHLIMIT,CV1.LOWLIMIT,CV10.LOWLIMIT,CV2.LOWLIMIT,CV3.LOWLIMIT,CV4.LOWLIMIT,CV5.LOWLIMIT,CV6.LOWLIMIT,CV7.LOWLIMIT,CV8.LOWLIMIT,CV9.LOWLIMIT,CV1.STATUS,CV10.STATUS,CV2.STATUS,CV3.STATUS,CV4.STATUS,CV5.STATUS,CV6.STATUS,CV7.STATUS,CV8.STATUS,CV9.STATUS,CV1.READVALUE,CV10.READVALUE,CV2.READVALUE,CV3.READVALUE,CV4.READVALUE,CV5.READVALUE,CV6.READVALUE,CV7.READVALUE,CV8.READVALUE,CV9.READVALUE,MV1.HIGHLIMIT,MV2.HIGHLIMIT,MV3.HIGHLIMIT,MV4.HIGHLIMIT,MV5.HIGHLIMIT,MV1.LOWLIMIT,MV2.LOWLIMIT,MV3.LOWLIMIT,MV4.LOWLIMIT,MV5.LOWLIMIT,MV1.READVALUE,MV2.READVALUE,MV3.READVALUE,MV4.READVALUE,MV5.READVALUE,MV1.SENTVALUE,MV1.SENTVALUEIFON,MV2.SENTVALUE,MV2.SENTVALUEIFON,MV3.SENTVALUE,MV3.SENTVALUEIFON,MV4.SENTVALUE,MV4.SENTVALUEIFON,MV5.SENTVALUE,MV5.SENTVALUEIFON,OMMON.TURNONOFF,CV1._NAME,Time_diff
2024-01-10 09:28:15,700,55,60,50,50,933,55,50,50,933,500,50.0,0,5,10,400,50.0,5,5,400,1,1,1,1,1,1,1,1,1,1,382.477569580078,60.2011909484863,3.83927822113037,33.1392097473145,8.68395614624023,729.352111816406,49.2090835571289,34.4307250976563,45.463062286377,393.986206054688,2400,100,100,90,61,1000,0,0,0,0,2400.0,99.5,59,85,52.0,2400.0,2400.0,99.5,99.5,59,59,85,85,52.0,52.0,1,,
2024-01-10 09:28:45,700,55,60,50,50,933,55,50,50,933,500,50.0,0,5,10,400,50.0,5,5,400,1,1,1,1,1,1,1,1,1,1,379.231842041016,59.6809158325195,5.21313858032227,34.194995880127,8.22989368438721,738.884704589844,49.3225975036621,33.8254508972168,44.8198089599609,394.750885009766,2400,100,100,90,61,1000,0,0,0,0,2400.0,99.5,59,85,53.0,2400.0,2400.0,99.5,99.5,59,59,85,85,53.0,53.0,1,,30.0
2024-01-10 09:29:15,700,55,60,50,50,933,55,50,50,933,500,50.0,0,5,10,400,50.0,5,5,400,1,1,1,1,1,1,1,1,1,1,363.955871582031,59.1038780212402,3.98042798042297,34.5619125366211,8.10691738128662,740.774780273438,50.0699119567871,34.1147003173828,44.9995384216309,395.545867919922,2400,100,100,90,61,1000,0,0,0,0,2400.0,99.5,59,85,53.0,2400.0,2400.0,99.5,99.5,59,59,85,85,53.0,53.0,1,,30.0
2024-01-10 09:29:45,700,55,60,50,50,933,55,50,50,933,500,50.0,0,5,10,400,50.0,5,5,400,1,1,1,1,1,1,1,1,1,1,373.824829101563,60.8066139221191,5.59894752502441,32.4148979187012,6.76364898681641,729.655212402344,49.3604354858398,33.8401794433594,44.6589965820313,397.576568603516,2400,100,100,90,61,1000,0,0,0,0,2399.19873046875,99.5,59,84,52.0,2399.54296875,2399.54296875,99.5,99.5,59,59,85,85,53.0,53.0,1,,30.0
2024-01-10 09:30:15,700,55,60,50,50,933,55,50,50,933,500,50.0,0,5,10,400,50.0,5,5,400,1,1,1,1,1,1,1,1,1,1,401.852661132813,59.7092933654785,7.97967624664307,33.2253875732422,6.46093797683716,737.205627441406,50.3631591796875,34.3069953918457,45.0846786499023,395.680358886719,2400,100,100,90,61,1000,0,0,0,0,2399.78173828125,99.5,59,84,53.0,2399.78173828125,2399.78173828125,99.5,99.5,59,59,84,84,53.0,53.0,1,,30.0
2024-01-10 09:30:45,700,55,60,50,50,933,55,50,50,933,500,50.0,0,5,10,400,50.0,5,5,400,1,1,1,1,1,1,1,1,1,1,384.155792236328,59.7660484313965,7.56563568115234,33.0301780700684,6.04471588134766,725.862182617188,48.2158203125,34.7428550720215,44.9617042541504,392.548736572266,2400,100,100,90,61,1000,0,0,0,0,2399.92114257813,99.5,59,85,53.0,2399.92114257813,2399.92114257813,99.5,99.5,59,59,85,85,53.0,53.0,1,,30.0
2024-01-10 09:31:15,700,55,60,50,50,933,55,50,50,933,500,50.0,0,5,10,400,50.0,5,5,400,1,1,1,1,1,1,1,1,1,1,384.850341796875,56.3511199951172,6.89752721786499,33.7062225341797,5.03253364562988,720.994201660156,49.3604354858398,35.028865814209,42.6630096435547,394.463592529297,2400,100,100,90,61,1000,0,0,0,0,2399.97802734375,99.5,59,50,53.0,2399.97802734375,2399.97802734375,99.5,99.5,59,59,85,85,53.0,53.0,1,,30.0
2024-01-10 09:31:45,700,55,60,50,50,933,55,50,50,933,500,50.0,0,5,10,400,50.0,5,5,400,1,1,1,1,1,1,1,1,1,1,378.480377197266,59.1890106201172,3.01119995117188,34.0491180419922,19.3828163146973,250.168563842773,-1.32435119152069,34.8461799621582,43.826545715332,397.433227539063,2400,100,100,90,61,1000,0,0,0,0,2399.69921875,90.5,59,50,53.0,2399.69921875,2399.69921875,90.5,90.5,59,59,50,50,53.0,53.0,1,,30.0
2024-01-10 09:32:15,700,55,60,50,50,933,55,50,50,933,500,50.0,0,5,10,400,50.0,5,5,400,1,1,1,1,1,1,1,1,1,1,376.317016601563,59.6998329162598,7.56563568115234,34.9627265930176,28.8140830993652,164.276992797852,-1.33381044864655,34.932430267334,44.3184509277344,396.026428222656,2400,100,100,90,61,1000,0,0,0,0,2399.29541015625,80.5,59,50,53.0,2399.29541015625,2399.29541015625,80.5,80.5,59,59,50,50,53.0,53.0,1,,30.0
2024-01-10 09:32:45,700,55,60,50,50,933,55,50,50,933,500,50.0,0,5,10,400,50.0,5,5,400,1,1,1,1,1,1,1,1,1,1,353.186004638672,61.4498672485352,4.86496686935425,36.7633399963379,38.292652130127,153.419403076172,-1.32435119152069,35.6764144897461,44.2333106994629,399.201354980469,2400,100,100,90,61,1000,0,0,0,0,2398.3125,71.5,59,50,52.0,2398.3125,2398.3125,71.5,71.5,59,59,50,50,52.0,52.0,1,,30.0
